Cluster,quarter,FCG<=2,tot_meb,fatalities,r3s,ramadan_days
Aflah Ash Sham,2024Q2,0.779069767,1.154723506,,-0.529,10
Aflah Ash Sham,2024Q3,0.85106383,1.170092437,,1.578,0
Aflah Ash Sham,2024Q4,0.722891566,1.182163517,,1.093,0
Aflah Ash Sham,2025Q1,0.7875,1.134201207,2,0.344,30
Aflah Ash Sham,2025Q2,0.84375,1.129657011,,-1.027,0
Aflah Ash Sham,2025Q3,0.833333333,1.135479122,,1.928,0
Aflah Ash Sham,2025Q4,0.722222222,1.234795967,,-0.032,0
Aflah Ash Shawm,2023Q4,0.666666667,1.120629222,,2.22,
Aflah Ash Shawm,2024Q1,0.8,1.128366965,,0.261,22
Ahwar,2025Q4,0.701030928,1.053674796,1,-0.824,0
Ain,2023Q4,0.5,0.807642028,1,1.382,
Ain,2024Q1,0.454545455,0.762830211,11,0.501,22
Al  Hawtah,2023Q4,0.2,0.761818923,4,-0.115,
Al  Hawtah,2024Q1,0,0.867346849,2,-0.806,22
Al Abdiyah,2023Q4,0.87628866,1.21618788,2,1.105,
Al Abdiyah,2024Q1,0.842105263,1.367739582,4,0.236,22
Al Abdiyah,2024Q2,0.796116505,1.18980889,6,0.704,10
Al Abdiyah,2024Q3,0.825688073,1.171426268,7,1.603,0
Al Abdiyah,2024Q4,0.835051546,1.079169538,,1.972,0
Al Abdiyah,2025Q1,0.760869565,1.084091124,,-0.997,30
Al Abdiyah,2025Q2,0.836956522,1.036563915,10,-1.387,0
Al Abdiyah,2025Q3,0.806451613,1.360286486,1,0.881,0
Al Abdiyah,2025Q4,0.824175824,2.259851986,0,0.443,0
Al Abr,2023Q4,0.642857143,0.547298279,0,-0.41,
Al Abr,2024Q1,0.655172414,0.530858838,1,0.289,22
Al Abr,2024Q2,0.628205128,0.528592469,0,1.395,10
Al Abr,2024Q3,0.650793651,0.498485402,,1.217,0
Al Abr,2024Q4,0.731343284,0.498376723,1,-0.345,0
Al Abr,2025Q1,0.592105263,0.510666955,1,-1.22,30
Al Abr,2025Q2,0.75,0.486644666,2,-1.657,0
Al Abr,2025Q3,0.682539683,0.604958937,,0.767,0
Al Abr,2025Q4,0.711111111,0.701494931,6,0.087,0
Al Arsh,2025Q3,0.827956989,1.173922384,,1.149,0
Al Arsh,2025Q4,0.793478261,1.234795967,,-0.422,0
Al Ashah,2023Q4,0.609756098,0.966621452,,1.135,
Al Ashah,2024Q1,0.68627451,0.950594043,,-0.274,22
Al Ashah,2024Q2,0.762886598,1.21414658,,-0.595,10
Al Ashah,2024Q3,0.789473684,1.360544218,,2.011,0
Al Ashah,2024Q4,0.628865979,1.360544218,,1.85,0
Al Ashah,2025Q1,0.658536585,1.129769223,,0.437,30
Al Ashah,2025Q2,0.684210526,1.096933625,0,-1.606,0
Al Ashah,2025Q3,0.791666667,1.173922384,9,1.27,0
Al Ashah,2025Q4,0.615384615,1.234795967,,-0.555,0
Al Azariq,2023Q4,0.641025641,1.127554616,3,0.336,
Al Azariq,2024Q1,0.617647059,1.19441016,3,-0.435,22
Al Azariq,2024Q2,0.659793814,1.344589468,1,1.362,10
Al Azariq,2024Q3,0.757575758,1.397428731,29,2.1,0
Al Azariq,2024Q4,0.769911504,1.378628353,9,1.193,0
Al Azariq,2025Q1,0.761904762,1.336748369,57,-1.019,30
Al Azariq,2025Q2,0.798076923,1.215860213,,-1.083,0
Al Azariq,2025Q3,0.773913043,1.270102827,,1.482,0
Al Azariq,2025Q4,0.787234043,1.453167054,0,-0.426,0
Al Bayda,2025Q4,0.8,1.060705372,,-0.849,0
Al Bayda City,2025Q4,0.813186813,1.234795967,,-0.766,0
Al Bayda-Cluster6,2023Q4,0.855263158,1.576197038,20,0.73,
Al Bayda-Cluster6,2024Q1,0.637681159,1.506659077,19,-0.12025,22
Al Bayda-Cluster6,2024Q2,0.817204301,1.507723509,0,1.11225,10
Al Bayda-Cluster6,2024Q3,0.779069767,1.491040562,0,1.89525,0
Al Bayda-Cluster6,2024Q4,0.811764706,1.547895694,0,1.85675,0
Al Bayda-Cluster6,2025Q1,0.755813953,1.610671767,1,-0.86175,30
Al Bayda-Cluster6,2025Q2,0.861702128,1.61440967,2,-1.2575,0
Al Bayda-Cluster6,2025Q3,0.838709677,1.723269505,3,0.86125,0
Al Bayda-Cluster6,2025Q4,0.854166667,2.47385358,0,-0.05125,0
Al Bayda-Cluster7,2023Q4,0.641025641,1.152674602,3,-0.09625,
Al Bayda-Cluster7,2024Q1,0.671428571,1.050626468,5,-0.739,22
Al Bayda-Cluster7,2024Q2,0.622222222,0.984901127,0,0.99075,10
Al Bayda-Cluster7,2024Q3,0.77,1.022039039,6,2.15225,0
Al Bayda-Cluster7,2024Q4,0.762376238,1.045610131,0,1.64425,0
Al Bayda-Cluster7,2025Q1,0.717171717,1.043162795,5,-1.14575,30
Al Bayda-Cluster7,2025Q2,0.683673469,1.022575441,8,-1.6585,0
Al Bayda-Cluster7,2025Q3,0.755555556,1.066708721,4,0.40975,0
Al Bayda-Cluster7,2025Q4,0.867924528,2.47385358,1,-0.743,0
Al Bayda-Cluster8,2023Q4,0.572916667,1.158485125,1,0.0425,
Al Bayda-Cluster8,2024Q1,0.607407407,1.151074863,19,-0.3415,22
Al Bayda-Cluster8,2024Q2,0.627272727,1.138324826,16,0.9755,10
Al Bayda-Cluster8,2024Q3,0.742268041,1.129068973,6,1.671,0
Al Bayda-Cluster8,2024Q4,0.772277228,1.129809664,5,1.9755,0
Al Bayda-Cluster8,2025Q1,0.81,1.178113688,12,-1.253,30
Al Bayda-Cluster8,2025Q2,0.770833333,1.171241896,8,-1.2825,0
Al Buraiqeh,2023Q4,0.344827586,0.712744869,1,-0.334,
Al Buraiqeh,2024Q1,0.317567568,0.711245984,0,-0.672,22
Al Burayqah,2024Q2,0.507462687,0.723091344,2,1.329,10
Al Burayqah,2024Q3,0.66025641,0.592276138,1,1.213,0
Al Burayqah,2024Q4,0.586466165,0.699470854,,0.23,0
Al Burayqah,2025Q1,0.588235294,0.798055655,0,-1.515,30
Al Burayqah,2025Q2,0.639455782,0.913842005,2,-1.412,0
Al Burayqah,2025Q3,0.668965517,1.014328723,1,1.996,0
Al Burayqah,2025Q4,0.537190083,0.689532188,0,-0.292,0
Al Dhaher,2023Q4,0.5,1.304467931,17,2.048,
Al Dhaher,2024Q1,0.5,1.340292341,,-0.404,22
Al Garrahi,2023Q4,0.65625,1.026979758,,1.235,
Al Garrahi,2024Q1,0.375,1.016856133,0,0.458,22
Al Ghayl,2025Q4,0.774647887,1.234795967,,0.027,0
Al Had,2023Q4,0.775510204,0.780325964,2,-0.102,
Al Had,2024Q1,0.737704918,0.842134752,0,-0.513,22
Al Had,2024Q2,0.819148936,0.791347612,34,0.953,10
Al Had,2024Q3,0.777777778,0.788507878,18,2.29,0
Al Had,2024Q4,0.84,0.716043493,7,1.355,0
Al Had,2025Q1,0.818181818,0.684042739,8,-0.789,30
Al Had,2025Q2,0.791666667,0.650640145,65,-1.452,0
Al Had,2025Q3,0.840425532,0.748137043,11,0.102,0
Al Had,2025Q4,0.776595745,0.838816782,8,-0.814,0
Al Hada,2025Q3,0.52688172,1.080535946,1,0.635,0
Al Hada,2025Q4,0.5,1.234795967,4,-0.159,0
Al Hajjaylah,2023Q4,0.285714286,1.026979758,,1.068,
Al Hajjaylah,2024Q1,0.25,1.016856133,,0.282,22
Al Hali,2023Q4,0.20754717,1.026979758,2,0.795,
Al Hali,2024Q1,0.363636364,1.016856133,2,0.236,22
Al Hali,2024Q2,0.268817204,1.056931718,4,0.936,10
Al Hali,2024Q3,0.484848485,1.092756147,14,0.707,0
Al Hali,2024Q4,0.490196078,1.12200308,4,1.591,0
Al Hali,2025Q1,0.57,1.120113309,4,-0.306,30
Al Hali,2025Q2,0.670103093,1.186534834,4,-1.385,0
Al Hali,2025Q3,0.632653061,0.994579743,7,0.83,0
Al Hali,2025Q4,0.684210526,1.234795967,,0.283,0
Al Hasayn,2024Q2,0.76744186,1.344589468,,1.063,10
Al Hasayn,2024Q3,0.744680851,1.397428731,,2.528,0
Al Hasayn,2024Q4,0.804347826,1.378628353,,1.134,0
Al Hasayn,2025Q1,0.711111111,1.336748369,,-1.124,30
Al Hasayn,2025Q2,0.784946237,1.215860213,,-1.234,0
Al Hasayn,2025Q3,0.842105263,1.270102827,,0.855,0
Al Hasayn,2025Q4,0.673913043,1.453167054,,-0.203,0
Al Hashwah,2024Q2,0.741935484,1.268245454,,-0.502,10
Al Hashwah,2024Q3,0.615384615,1.253160114,,1.975,0
Al Hashwah,2024Q4,0.627659574,1.259224486,,2.465,0
Al Hashwah,2025Q1,0.666666667,1.266917532,,0.275,30
Al Hashwah,2025Q2,0.64516129,1.096933625,,-1.505,0
Al Hashwah,2025Q3,0.622222222,1.266742473,2,1.744,0
Al Hashwah,2025Q4,0.604166667,1.234795967,,0.305,0
Al Hawak,2023Q4,0.111111111,1.026979758,0,0.682,
Al Hawak,2024Q1,0.233333333,1.016856133,1,0.335,22
Al Hawak,2024Q2,0.336633663,1.056931718,16,0.911,10
Al Hawak,2024Q3,0.391752577,1.092756147,1,0.658,0
Al Hawak,2024Q4,0.405940594,1.12200308,1,1.576,0
Al Hawak,2025Q1,0.4375,1.120113309,0,-0.119,30
Al Hawak,2025Q2,0.448979592,1.186534834,12,-1.196,0
Al Hawak,2025Q3,0.583333333,0.994579743,2,0.739,0
Al Hawak,2025Q4,0.425531915,1.234795967,,0.486,0
Al Hawtah,2024Q2,0.505494505,0.79257904,,1.312,10
Al Hawtah,2024Q3,0.591397849,0.758802552,,0.907,0
Al Hawtah,2024Q4,0.52688172,0.686605224,0,0.137,0
Al Hawtah,2025Q1,0.650485437,0.674247804,0,-1.397,30
Al Hawtah,2025Q2,0.677419355,0.650164709,,-1.127,0
Al Hawtah,2025Q3,0.536082474,0.728801485,0,2.405,0
Al Hawtah,2025Q4,0.588235294,0.820000316,0,-0.649,0
Al Haymah Ad Dakhiliyah,2023Q4,0.428571429,1.004763322,,0.838,
Al Haymah Ad Dakhiliyah,2024Q1,0.414634146,1.004763322,,0.007,22
